Product Name,Description,Image Link,Price,Rating,Store
"POCO C81 Pro (4GB/128G) (4GB/64GB) | Layar imersif 6.9"" | HP 1 Jutaan [Xiaomi Official Store]",,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/fc3c47c44cb14aa6bdf1823c71b5ab78~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1779178566&x-signature=hQHDzlhsG4bSycXysHkgjc7Dl90%3D&x-signature-webp=pgZd0QwRWBQSG8MJQOS9ZS0KfCc%3D,Rp1.636.450,5.0,Xiaomi Indonesia
(FREE CASE) ADVAN X1 Mediatek Helio G100 8GB+8GB/128GB High Refresh Rate 120Hz IPS FHD+ 64MP Big Battery 5000mAh AI Camera UFS 2.2 NFC Fingerprint Android 14 Gaming Smartphone Handphone Fast Charging,,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/0f09efb9cb9346ff99802f22e45e038c~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1779178566&x-signature=HCHoYIt4sj1QRYOjtHodtyR6PTM%3D&x-signature-webp=4AKckCtiDxKB%2Bz%2FmvniZnAZx2Ig%3D,Rp2.299.000,4.9,ADVAN INDONESIA
Infinix Smart 20 4/128GB - Up to 8GB Extended RAM - Mediatek Helio G81 - 6.78” - 8MP - 5200 mAh - IP64,,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/d7c0fc50902c4e01b42e26aed8096077~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1779178566&x-signature=ikT7zuPDelQIJt4N5z6YW7Yvm8Q%3D&x-signature-webp=g%2Bl5qOWB16HaEsi2fx7THwB0XUs%3D,Rp1.899.000,5.0,Infinix Indonesia
Samsung Galaxy A56 5G RAM 8/256GB & 12/256GB Resmi SEIN Garansi Indonesia,,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/2164ebe1da22410d8703d7dd9d17d547~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1779178566&x-signature=lYOEpQZgICM5zXCe5zn8pS7GEYg%3D&x-signature-webp=6JQrPsQwvetXuDNioys3TqhA1ys%3D,Rp6.144.000,4.9,Digitalisme Store
Xiaomi Poco C71 4/128GB Black Blue Gold Garansi Resmi,,https://p16-images-common-sign-sg.tokopedia-static.net/tos-maliva-i-o3syd03w52-us/d1605b46710547af950834cea798e609~tplv-o3syd03w52-resize-jpeg:200:200.jpeg?lk3s=97278606&x-expires=1779178566&x-signature=29UmSOs%2BSujXjhKUmv8M2AAND2k%3D&x-signature-webp=7CtCw0k1Ljr3wrZFCLeaEnVg%2Bko%3D,Rp1.679.000,4.9,Digitech Mall
Samsung Galaxy A07 LTE 4/128GB,,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/55c8e12c665a4ecba6e73f701ea92fb5~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1779178566&x-signature=ZGzLSFcHBbJ0Zqe97Lj3ff7XwXc%3D&x-signature-webp=hvqSMP8da8w62ujF%2BL%2BBs4cN6hw%3D,Rp2.199.000,4.9,Samsung Official Store
[BARU] OPPO A6t Online Exclusive 4GB+64/128GB & 6GB+128GB (Garansi Resmi),,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/1c3d591e2c2b4ef298fd0c41710d0bf1~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1779178566&x-signature=wG9x4oPh3Aaeo5VL1ugm51QOC1w%3D&x-signature-webp=Ut3Du5aERU1oQgsWYlBO8bQpqcA%3D,Rp2.049.000,5.0,OPPO Store Indonesia
"TECNO SPARK Go 3 4GB+4GB*/128GB, IP64, 6.75"" HD+, 120Hz Smooth Display, 5000mAh, 15W* Charging, TECNO AI - sparkgo3",,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/f46019ef0985430bb9b1c833352cce48~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1779178566&x-signature=7kLE53Rc0%2BKPEJg0BErZYRCUk%2BY%3D&x-signature-webp=Q5UHHp6zMbJKvPAl06umWQmP9oc%3D,Rp1.899.000,5.0,TECNO Indonesia Shop
ITEL A100C 3GB 64GB | 4GB 64GB Garansi Resmi AF,,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/ec41416ad78a4745bda4571e53eb144f~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1779178566&x-signature=QDZsEJYBlGnmH%2FJ0c2MP9j%2FXwtk%3D&x-signature-webp=Xp31ukSU2%2B4Pqrvogy8Q9ejX12A%3D,Rp1.534.190,4.9,AGRES ID
Apple iPhone 15 512GB 256GB 128GB Garansi Resmi - [Digitech MallxCreator],,https://p16-images-common-sign-sg.tokopedia-static.net/tos-maliva-i-o3syd03w52-us/6421ba97a6804f93ac2f069cab9d2a5b~tplv-o3syd03w52-resize-jpeg:200:200.jpeg?lk3s=97278606&x-expires=1779178566&x-signature=hfqip0RkH7Cun5Y%2FwcFRYg7QmH4%3D&x-signature-webp=gPYcRRPE3XWffQkzPXLSBQ1Rxs8%3D,Rp12.533.000,4.9,Digitech Mall
